,,,,,,,Číslo,20,37,19,3,9,24,18,21,27,33,35,25,14,8,15,17,36,4,34,28,1,10,13,11,38,2,29,32,39,5,6,26,12,23,30,22,16,7,31,,
Richard,Dolejš,ČSSD,Česká strana sociálně demokratická,Středočeský,m,5456,5456,-1,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,1,0,,,1,1,-1,1,1,1,0,-1,1,-1,,
Radim,Fiala,ODS-Nezařazení,Občanská demokratická strana-Nezařazení,Olomoucký,m,5459,5459,1,-1,1,-1,0,1,0,1,1,1,1,1,-1,0,0,1,1,1,1,1,1,0,0,-1,0,0,-1,,,-1,-1,0,-1,-1,-1,-1,1,0,0,,
Dana,Filipi,ODS,Občanská demokratická strana,Jihomoravský,f,5460,5460,1,-1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,-1,1,1,,,-1,-1,-1,-1,-1,0,-1,1,-1,0,,
Milada,Halíková,KSČM,Komunistická strana Čech a Moravy,Moravskoslezský,f,5461,5461,-1,1,1,1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,1,1,,,1,1,1,1,1,1,1,-1,1,0,,
Jan,Hamáček,ČSSD,Česká strana sociálně demokratická,Středočeský,m,5462,5462,1,1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,0,1,-1,0,1,1,1,1,-1,,,1,1,0,1,0,0,1,-1,0,0,,
Gabriela,Kalábková,ČSSD,Česká strana sociálně demokratická,Hlavní město Praha,f,5469,5469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,,,0,0,0,0,0,0,0,0,0,-1,,
Jiří,Krátký,ČSSD,Česká strana sociálně demokratická,Olomoucký,m,5472,5472,-1,1,1,-1,0,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,1,1,1,1,-1,-1,1,1,1,1,1,,,0,0,-1,1,1,0,1,-1,0,0,,
Jaroslav,Krupka,ODS,Občanská demokratická strana,Moravskoslezský,m,5473,5473,-1,-1,-1,-1,1,1,0,1,1,1,1,1,1,1,-1,1,1,1,1,0,0,0,0,1,-1,1,1,,,0,-1,-1,-1,-1,-1,-1,1,0,0,,
Jan,Látka,ČSSD,Česká strana sociálně demokratická,Plzeňský,m,5475,5475,1,0,1,0,0,1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,1,1,1,1,-1,0,0,0,0,0,0,,,1,1,-1,1,0,1,1,0,0,0,,
František,Laudát,TOP 09,TOP 09,Hlavní město Praha,m,5476,5476,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,-1,-1,1,,,-1,-1,-1,-1,-1,-1,0,1,-1,1,,
Vladimíra,Lesenská,ČSSD,Česká strana sociálně demokratická,Královéhradecký,f,5477,5477,1,1,1,-1,0,0,-1,-1,0,0,0,-1,-1,0,1,-1,1,1,1,1,-1,-1,1,0,1,1,0,,,1,0,-1,1,0,1,1,-1,1,0,,
