id,jmeno,prijmeni,obvod,,,obvod,cislo,,prijmeni,jmeno,foto,cro_n
110,Jiří ,Čáslavka,43,,TRUE,43,5,,Čáslavka,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-43-top09-a-starostove-a-nezavisli-s-podporou-pardubaku-patriotu-pardubic-a-liberalne-ekologicke-strany-jiri-caslavka.jpg,
111,Karel,Daňhel,43,,TRUE,43,2,,Daňhel,Karel,https://samizdat.blob.core.windows.net/vizitky16/senat-43-usvit-narodni-koalice-karel-danhel.jpg,
112,Miluše ,Horská,43,,TRUE,43,3,,Horská,Miluše,https://samizdat.blob.core.windows.net/vizitky16/senat-43-koalice-nestranici-a-kdu-csl-miluse-horska.jpg,
113,Jaroslav,Menšík,43,,TRUE,43,8,,Menšík,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-43-ano2011-jaroslav-mensik.jpg,
114,Vladimír,Ninger,43,,TRUE,43,4,,Ninger,Vladimír,https://samizdat.blob.core.windows.net/vizitky16/senat-43-cssd-vladimir-ninger.jpg,
115,David,Novák,43,,TRUE,43,10,,Novák,David,https://samizdat.blob.core.windows.net/vizitky16/senat-43-ods-david-novak.jpg,
116,Petr,Novotný,43,,TRUE,43,1,,Novotný,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-43-strana-soukromniku-ceske-republiky-petr-novotny.jpg,
117,Pavel,Studnička,43,,TRUE,43,6,,Studnička,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-43-kscm-pavel-studnicka.jpg,
118,Petr,Štěpánek,43,,TRUE,43,9,,Štěpánek,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-43-alternativa-pro-ceskou-republiku-2017-petr-stepanek.jpg,
119,Emanuel,Žďárský,43,,TRUE,43,7,,Žďárský,Emanuel,https://samizdat.blob.core.windows.net/vizitky16/senat-43-nezavisli-kandidati-do-senatu-emanuel-zdarsky.jpg,
120,Lenka,Bochníčková,40,,TRUE,40,2,,Bochníčková,Lenka,https://samizdat.blob.core.windows.net/vizitky16/senat-40-kscm-lenka-bochnickova.jpg,
121,Jaromír,Strnad,40,,TRUE,40,1,,Strnad,Jaromír,https://samizdat.blob.core.windows.net/vizitky16/senat-40-cssd-jaromir-strnad.jpg,
122,Ivo,Šanc,40,,TRUE,40,4,,Šanc,Ivo,https://samizdat.blob.core.windows.net/vizitky16/senat-40-stan-s-podporou-kdu-csl-ivo-sanc.jpg,
123,Julius,Špičák,40,,TRUE,40,5,,Špičák,Julius,https://samizdat.blob.core.windows.net/vizitky16/senat-40-ano-julius-spicak.jpg,
124,Milan,Vodička,40,,TRUE,40,3,,Vodička,Milan,https://samizdat.blob.core.windows.net/vizitky16/senat-40-svobodni-s-podporou-ods-a-strany-soukromniku-cr-milan-vodicka.jpg,
125,Radim ,Špaček,40,,TRUE,40,6,,Špaček,Radim,https://samizdat.blob.core.windows.net/vizitky16/muz.png,
126,Věra,Beranová,37,,TRUE,37,2,,Beranová,Věra,https://samizdat.blob.core.windows.net/vizitky16/zena.png,
127,Josef,Táborský,37,,TRUE,37,3,,Táborský,Josef,https://samizdat.blob.core.windows.net/vizitky16/senat-37-cssd-josef-taborsky.jpg,
128,Tomáš,Czernin,37,,TRUE,37,7,,Czernin,Tomáš,https://samizdat.blob.core.windows.net/vizitky16/senat-37-top09-tomas-czernin.jpg,
129,Ivan,Doležal,37,,TRUE,37,5,,Doležal,Ivan,https://samizdat.blob.core.windows.net/vizitky16/senat-37-ods-ivan-dolezal.jpg,
130,Vladimír,Dryml,37,,TRUE,37,6,,Dryml,Vladimír,https://samizdat.blob.core.windows.net/vizitky16/senat-37-usvit-nk-vladimir-dryml.jpg,
131,Jan,Malý,37,,TRUE,37,1,,Malý,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-37-ano2011-jan-maly.jpg,
132,Jiří,Fiala,37,,TRUE,37,4,,Fiala,Jiří,https://samizdat.blob.core.windows.net/vizitky16/senat-37-strana-zdr-rozumu-jiri-fiala.jpg,
133,Martina,Bufková Rychecká,34,,TRUE,34,3,,Bufková Rychecká,Martina,https://samizdat.blob.core.windows.net/vizitky16/senat-34-ods-martina-bufkova-rychecka.jpg,
134,Michael,Canov,34,,TRUE,34,9,,Canov,Michael,https://samizdat.blob.core.windows.net/vizitky16/senat-34-slk-stan-michael-canov.jpg,
135,Petr,Černý,34,,TRUE,34,5,,Černý,Petr,https://samizdat.blob.core.windows.net/vizitky16/senat-34-novy-smer-petr-cerny.jpg,
136,Jaroslav ,Havelka,34,,TRUE,34,1,,Havelka,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-34-kscm-jaroslav-havelka.jpg,
137,Peter,Hromádka,34,,TRUE,34,6,,Hromádka,Peter,https://samizdat.blob.core.windows.net/vizitky16/senat-34-top09-peter-hromadka.jpg,
138,Jan,Korytář,34,,TRUE,34,7,,Korytář,Jan,https://samizdat.blob.core.windows.net/vizitky16/senat-34-politicke-hnuti-zmena-jan-korytar.jpg,
139,Pavel,Ploc,34,,TRUE,34,8,,Ploc,Pavel,https://samizdat.blob.core.windows.net/vizitky16/senat-34-cssd-pavel-ploc.jpg,
140,Lidie,Vajnerová,34,,TRUE,34,4,,Vajnerová,Lidie,https://samizdat.blob.core.windows.net/vizitky16/senat-34-nova-budoucnost-pro-lb-kraj-lidie-vajnerova.jpg,
141,Marek,Vávra,34,,TRUE,34,2,,Vávra,Marek,https://samizdat.blob.core.windows.net/vizitky16/senat-34-ano2011-marek-vavra.jpg,
142,Jaroslav,Doubrava,31,,TRUE,31,5,,Doubrava,Jaroslav,https://samizdat.blob.core.windows.net/vizitky16/senat-31-severocesi-cz-jaroslav-doubrava.jpg,
143,Martin,Hausenblas,31,,TRUE,31,6,,Hausenblas,Martin,https://samizdat.blob.core.windows.net/vizitky16/senat-31-usti-nad-labem-martin-hausenblas.jpg,
144,František,Holešovský,31,,TRUE,31,4,,Holešovský,František,https://samizdat.blob.core.windows.net/vizitky16/senat-31-ano2011-frantisek-holesovsky.jpg,
